timestep,time,golf_0,sprinter_0
431,2023-01-05 11:45:00,None,0.14405270279532897
432,2023-01-05 12:00:00,None,0.13302967647953948
433,2023-01-05 12:15:00,None,0.12200665016375001
434,2023-01-05 12:30:00,None,0.11098362384796054
435,2023-01-05 12:45:00,None,0.09996059753217107
436,2023-01-05 13:00:00,None,0.0889375712163816
437,2023-01-05 13:15:00,None,0.0779145449005921
438,2023-01-05 13:30:00,None,0.06689151858480263
439,2023-01-05 13:45:00,None,0.055868492269013165
440,2023-01-05 14:00:00,None,0.044845465953223695
441,2023-01-05 14:15:00,None,0.0338224396374342
442,2023-01-05 14:30:00,None,0.022799413321644757
443,2023-01-05 14:45:00,None,0.01177638700585526
444,2023-01-05 15:00:00,None,0.0007533606900658185
445,2023-01-05 15:15:00,None,-0.010269665625723678
446,2023-01-05 15:30:00,None,-0.021292691941513175
447,2023-01-05 15:45:00,None,-0.03231571825730262
448,2023-01-05 16:00:00,None,-0.043338744573092114
449,2023-01-05 16:15:00,None,-0.054361770888881555
450,2023-01-05 16:30:00,None,-0.06538479720467105
